Crop,State,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rice,Andaman And Nicobar Islands,Kharif,0.13,0.13,0.17,0.11,0.18,0.13,0.13,0.11,0.10,
Rice,Andaman And Nicobar Islands,Rabi,,,,,,,0.00,,,
Rice,Andaman And Nicobar Islands,Total,0.13,0.13,0.17,0.11,0.18,0.13,0.13,0.11,0.10,
Rice,Andhra Pradesh,Kharif,41.05,48.55,49.41,52.43,51.17,42.11,43.26,49.86,46.95,50.31
Rice,Andhra Pradesh,Rabi,33.83,25.97,32.25,29.91,35.42,36.72,34.37,29.56,26.46,29.86
Rice,Andhra Pradesh,Total,74.89,74.52,81.66,82.35,86.59,78.83,77.64,79.42,73.42,80.16
Rice,Arunachal Pradesh,Kharif,2.03,2.19,2.33,2.40,2.44,2.46,2.51,2.53,2.54,
Rice,Arunachal Pradesh,Rabi,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,
Rice,Arunachal Pradesh,Total,2.04,2.20,2.33,2.40,2.45,2.47,2.52,2.54,2.55,
Rice,Assam,Kharif,39.84,35.96,40.92,40.75,39.59,41.43,35.38,45.18,43.74,38.91
Rice,Assam,Rabi,11.41,11.32,11.91,11.46,10.26,10.72,8.44,,,
Rice,Assam,Summer,,,,,,,,11.06,11.64,10.26
Rice,Assam,Total,51.25,47.27,52.84,52.21,49.85,52.15,43.82,56.24,55.39,49.18
Rice,Bihar,Kharif,66.01,80.15,79.49,60.19,61.69,66.11,75.72,68.73,77.29,82.85
Rice,Bihar,Rabi,2.01,2.24,1.44,1.36,1.29,1.36,1.45,,,
Rice,Bihar,Summer,,,,,,,,1.50,1.73,1.56
Rice,Bihar,Total,68.02,82.39,80.93,61.56,62.98,67.47,77.17,70.23,79.02,84.41
Rice,Chandigarh,Kharif,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,
Rice,Chandigarh,Rabi,,,,,,,0.00,,,
Rice,Chandigarh,Total,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,
Rice,Chhattisgarh,Kharif,57.89,80.48,49.31,65.27,67.75,71.61,80.22,98.12,97.03,85.35
Rice,Chhattisgarh,Rabi,,,,,,,0.00,,,
Rice,Chhattisgarh,Total,57.89,80.48,49.31,65.27,67.75,71.61,80.22,98.12,97.03,85.35
Rice,Daman And Diu,Kharif,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,,
Rice,Daman And Diu,Rabi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
Rice,Daman And Diu,Total,0.02,0.02,0.02,0.02,0.02,0.03,0.03,,,
Rice,Delhi,Kharif,0.17,0.17,0.17,0.17,0.17,0.20,0.19,0.17,0.17,
Rice,Delhi,Rabi,,,,,,,0.00,,,
Rice,Delhi,Total,0.17,0.17,0.17,0.17,0.17,0.20,0.19,0.17,0.17,
Rice,Goa,Kharif,0.78,0.77,0.71,0.70,0.61,0.62,0.66,0.63,0.68,
Rice,Goa,Rabi,0.37,0.36,0.32,0.29,0.30,0.26,0.25,0.25,0.27,
Rice,Goa,Total,1.15,1.13,1.03,0.99,0.90,0.87,0.90,0.88,0.95,
Rice,Gujarat,Kharif,15.92,17.50,17.50,18.19,18.22,19.37,18.85,21.66,21.38,19.31
Rice,Gujarat,Rabi,1.10,1.80,1.41,0.93,1.62,2.09,2.16,,,
Rice,Gujarat,Summer,,,,,,,,2.30,2.69,3.57
Rice,Gujarat,Total,17.02,19.30,18.91,19.12,19.83,21.46,21.01,23.96,24.07,22.89
Rice,Haryana,Kharif,41.45,44.53,45.23,45.16,48.24,44.25,46.18,51.09,59.76,60.60
Rice,Haryana,Rabi,,,,,,,0.00,,,
Rice,Haryana,Total,41.45,44.53,45.23,45.16,48.24,44.25,46.18,51.09,59.76,60.60
Rice,Himachal Pradesh,Kharif,1.30,1.47,1.15,1.15,1.44,1.40,1.68,1.31,1.73,1.58
Rice,Himachal Pradesh,Rabi,,,,,,,0.00,,,
Rice,Himachal Pradesh,Total,1.30,1.47,1.15,1.15,1.44,1.40,1.68,1.31,1.73,1.58
Rice,Jammu And Kashmir,Kharif,6.46,5.72,5.13,6.16,5.87,5.81,4.93,6.04,6.41,
Rice,Jammu And Kashmir,Rabi,,,,,,,0.00,,,
Rice,Jammu And Kashmir,Total,6.46,5.72,5.13,6.16,5.87,5.81,4.93,6.04,6.41,
Rice,Jharkhand,Kharif,28.82,38.20,40.78,28.94,30.13,27.53,29.30,14.94,15.16,27.77
Rice,Jharkhand,Rabi,0.00,0.22,0.00,0.00,0.00,0.00,0.00,,,
Rice,Jharkhand,Total,28.82,38.42,40.78,28.94,30.13,27.53,29.30,14.94,15.16,27.77
Rice,Karnataka,Kharif,26.42,23.43,22.33,29.45,27.75,31.45,31.22,31.63,28.23,30.21
Rice,Karnataka,Rabi,3.79,2.62,7.84,4.86,8.59,11.47,11.97,2.42,1.16,1.16
Rice,Karnataka,Summer,,,,,,,,8.74,1.89,9.09
Rice,Karnataka,Total,30.21,26.05,30.17,34.31,36.34,42.92,43.18,42.80,31.27,40.46
Rice,Kerala,Kharif,4.07,3.23,3.87,4.30,4.49,4.70,3.42,1.37,1.16,1.15
Rice,Kerala,Rabi,1.43,1.14,1.35,1.49,1.57,1.64,1.45,2.25,1.95,2.03
Rice,Kerala,Summer,,,,,,,,2.34,1.86,2.09
Rice,Kerala,Total,5.49,4.37,5.21,5.78,6.06,6.34,4.87,5.96,4.98,5.28
Rice,Ladakh,Kharif,,,,,,,0.00,,,
Rice,Ladakh,Rabi,,,,,,,0.00,,,
Rice,Ladakh,Total,,,,,,,0.00,,,
Rice,Lakshadweep,Kharif,,,,,,,0.00,,,
Rice,Lakshadweep,Rabi,,,,,,,0.00,,,
Rice,Lakshadweep,Total,,,,,,,0.00,,,
Rice,Madhya Pradesh,Kharif,35.47,41.57,40.95,44.50,46.84,42.87,48.15,70.22,71.11,88.31
Rice,Madhya Pradesh,Rabi,0.00,0.69,0.29,0.45,0.94,1.27,0.00,,,1.55
Rice,Madhya Pradesh,Summer,,,,,,,,,1.29,1.64
Rice,Madhya Pradesh,Total,35.47,42.27,41.24,44.95,47.78,44.14,48.15,70.22,72.40,91.50
Rice,Maharashtra,Kharif,25.17,29.48,26.69,31.44,27.02,30.28,32.95,34.54,34.63,35.62
Rice,Maharashtra,Rabi,0.76,1.62,0.62,1.32,1.96,2.64,3.03,,,
Rice,Maharashtra,Summer,,,,,,,,4.45,4.37,4.47
Rice,Maharashtra,Total,25.93,31.10,27.31,32.76,28.98,32.92,35.98,38.99,39.00,40.08
Rice,Manipur,Kharif,1.12,1.88,1.77,0.89,1.18,0.79,0.15,0.18,0.17,
Rice,Manipur,Rabi,2.27,2.42,4.31,3.13,2.68,5.23,5.52,,,
Rice,Manipur,Summer,,,,,,,,3.31,3.31,
Rice,Manipur,Total,3.39,4.30,6.08,4.02,3.86,6.02,5.67,3.49,3.48,
Rice,Meghalaya,Kharif,2.38,1.61,2.41,1.60,2.40,2.33,2.34,2.22,2.08,
Rice,Meghalaya,Rabi,0.63,0.42,0.63,0.42,0.63,0.63,0.63,0.57,0.57,
Rice,Meghalaya,Total,3.01,2.03,3.05,2.02,3.03,2.96,2.97,2.79,2.65,
Rice,Mizoram,Kharif,0.61,0.61,0.59,0.59,0.59,0.61,0.60,0.39,0.39,
Rice,Mizoram,Rabi,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
Rice,Mizoram,Total,0.62,0.62,0.60,0.60,0.60,0.62,0.61,0.39,0.40,
Rice,Nagaland,Kharif,3.11,3.28,3.40,3.46,3.53,3.56,1.50,3.64,3.64,
Rice,Nagaland,Rabi,0.08,0.09,0.10,0.10,0.11,0.11,0.00,0.06,0.05,
Rice,Nagaland,Total,3.19,3.37,3.50,3.57,3.63,3.67,1.51,3.70,3.69,
Rice,Odisha,Kharif,50.92,75.32,58.56,68.08,74.28,76.57,81.54,70.81,72.79,84.62
Rice,Odisha,Rabi,7.83,7.94,6.95,9.26,9.33,11.53,11.37,,,
Rice,Odisha,Summer,,,,,,,,11.69,11.95,11.52
Rice,Odisha,Total,58.75,83.26,65.51,77.34,83.60,88.10,92.91,82.50,84.74,96.14
Rice,Puducherry,Kharif,0.32,0.36,0.27,0.47,0.43,0.14,0.13,0.14,0.13,
Rice,Puducherry,Rabi,0.12,0.16,0.16,0.17,0.16,0.36,0.44,0.32,0.32,
Rice,Puducherry,Summer,,,,,,,,0.19,0.16,
Rice,Puducherry,Total,0.44,0.52,0.42,0.63,0.59,0.50,0.57,0.65,0.61,
Rice,Punjab,Kharif,118.23,115.86,133.82,128.22,117.79,127.84,128.85,129.91,143.56,143.61
Rice,Punjab,Rabi,,,,,,,0.00,,,
